"scrubbed_species_binomial"	"verbatim_family"	"verbatim_scientific_name"	"family_matched"	"name_matched"	"name_matched_author"	"higher_plant_group"	"scrubbed_taxonomic_status"	"scrubbed_family"	"scrubbed_author"	"native_status"	"native_status_reason"	"native_status_sources"	"is_introduced"	"native_status_country"	"native_status_state_province"	"native_status_county_parish"	"country"	"state_province"	"county"	"locality"	"latitude"	"longitude"	"date_collected"	"datasource"	"dataset"	"dataowner"	"custodial_institution_codes"	"collection_code"	"datasource_id"	"is_cultivated_observation"	"is_cultivated_in_region"	"is_location_cultivated"	"is_new_world"	"observation_type"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"tropicos"	0	"N"	NA	NA	"Bolivia"	"Santa Cruz"	NA	"The plain around Santa Cruz that is bound by the 700 m contour of the Andean foothills to the west, and the Río Grande to the east. Andrés Ibáñez, 12.5 km. (by air) ENE of center of Santa Cruz, 3 km. N. of Jardín Botánico de Santa Cruz. Flat probably formerly grassland, now mostly pastures. Grassy and brushy roadside, soil very sandy.; Aeschynomene denticulata Rudd"	-17.7375	-63.07777	1994-12-23	"MO"	"MO, NY"	"MO, NY"	"MO, NY"	NA	280	0	0	NA	1	"specimen"
"Senna coimbrae"	"Caesalpiniaceae"	"Senna coimbrae M. Nee & Barneby"	"Fabaceae"	"Senna coimbrae"	"M. Nee & Barneby"	"flowering plants"	"Accepted"	"Fabaceae"	"M. Nee & Barneby"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	"Santiesteban"	"7.5 km by road NW of bridge at Chané Independencia.; vegetation: Flat, clay, mostly in fields of sugar cane, with a few Acrocomia aculeata and Attalea speciosa trees."	-16.933	-63.267	1998-04-05	"NY"	"NY"	"NY"	"NY"	"Herbarium"	104	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Handroanthus selachidentatus (A.H.Gentry) S.O.Grose"	"Bignoniaceae"	"Handroanthus selachidentatus"	"(A.H. Gentry) S.O. Grose"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	NA	NA	"Brazil"	"Pernambuco"	NA	""	-9.041944	-37.266111	1995-10-18	"GBIF"	"IMA"	"IMA"	"IMA"	"MAC"	2458	0	0	NA	1	"specimen"
"Oxypetalum fuscum"	"Apocynaceae"	"Oxypetalum fuscum Goyder & Fontella"	"Apocynaceae"	"Oxypetalum fuscum"	"Goyder & Fontella"	"flowering plants"	"Accepted"	"Apocynaceae"	"Goyder & Fontella"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	"Cordillera"	"Charagua"	-19.75	-63.2	1934-05-01	"MO"	"F"	"F"	"F"	NA	280	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Corrientes"	"Santo Tome"	"35 km al SW de Santo Tomé, ruta nacional 40"	-28.21	-56.23	NA	"GBIF"	"SI"	"SI"	"SI"	"HERB"	3669	0	0	NA	1	"specimen"
"Inga approximata"	"Fabaceae"	"Inga approximata T.D. Penn."	"Fabaceae"	"Inga approximata"	"T.D. Penn."	"flowering plants"	"Accepted"	"Fabaceae"	"T.D. Penn."	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	NA	"Florida, la Yunga"	-18.53333	-63.46666	NA	"MO"	"K, LPB"	"K, LPB"	"K, LPB"	NA	280	0	0	NA	1	"specimen"
"Arachis chiquitana"	"Fabaceae"	"Arachis chiquitana Krapov., W.C.Greg. & C.E.Simpson"	"Fabaceae"	"Arachis chiquitana"	"Krapov. & al."	"flowering plants"	"Accepted"	"Fabaceae"	"Krapov. & al."	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	NA	NA	""	-16.7261	-64.435	1980-04-27	"GBIF"	"F"	"F"	"F"	"Botany"	3567	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"flbr, conosur"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Lagoa Itatiaia."	-20.480028	-54.576806	2002-05-25	"GBIF"	"Fundação Universidade Federal de Mato Grosso do Sul (UFMS)"	"Fundação Universidade Federal de Mato Grosso do Sul (UFMS)"	"Fundação Universidade Federal de Mato Grosso do Sul (UFMS)"	"CGMS"	2258	0	0	NA	1	"specimen"
"Inga approximata"	"Fabaceae"	"Inga approximata T.D. Penn."	"Fabaceae"	"Inga approximata"	"T.D. Penn."	"flowering plants"	"Accepted"	"Fabaceae"	"T.D. Penn."	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Cochabamba"	NA	"NE slopes of Serra de Cochabamba"	-17.21666	-65.81666	1926-07-01	"MO"	"MO"	"MO"	"MO"	NA	280	0	0	NA	1	"specimen"
"Inga approximata"	"Fabaceae"	"Inga approximata T.D. Penn."	"Fabaceae"	"Inga approximata"	"T.D. Penn."	"flowering plants"	"Accepted"	"Fabaceae"	"T.D. Penn."	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	"Manuel Maria Caballero"	"Track to Carahuassi"	-17.91666	-64.55	NA	"MO"	NA	NA	NA	NA	280	0	0	NA	1	"specimen"
"Acosmium cardenasii"	"Fabaceae"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Fabaceae"	"Acosmium cardenasii"	"H.S. Irwin & Arroyo"	"flowering plants"	"Accepted"	"Fabaceae"	"H.S. Irwin & Arroyo"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Terras"	-19.1	-57.783333	1992-05-15	"GBIF"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"CPAP"	2018	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Entre Rios"	"Gualeguaychu"	"Gualeguaychú a Balneario El Ñandubaizal"	-33	-58.81	NA	"GBIF"	"SI"	"SI"	"SI"	"HERB"	3669	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Handroanthus selachidentatus"	"Bignoniaceae"	"Handroanthus selachidentatus"	"(A.H. Gentry) S.O. Grose"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	"Itatim"	"Morro do LeÃ£o"	-12.716667	-39.683333	1996-10-27	"SpeciesLink"	"UnB"	"UnB"	"UnB"	"UB"	1227	0	0	NA	1	"specimen"
"Acosmium cardenasii"	"Fabaceae"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Fabaceae"	"Acosmium cardenasii"	"H.S. Irwin & Arroyo"	"flowering plants"	"Accepted"	"Fabaceae"	"H.S. Irwin & Arroyo"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Sopé da Serra Santa Cruz, Planalto Residual do Urucum. &nf;Escarpa de Floresta Estacional Decidual."	-19.1659	-57.3429	2004-10-19	"GBIF"	"UNICAMP"	"UNICAMP"	"UNICAMP"	"UEC"	2136	0	0	NA	1	"specimen"
"Cascaronia astragalina"	"Fabaceae"	"Cascaronia astragalina Griseb."	"Fabaceae"	"Cascaronia astragalina"	"Griseb."	"flowering plants"	"Accepted"	"Fabaceae"	"Griseb."	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Jujuy"	"San Pedro"	"Orilla rio de San Pedro"	-24.3	-64.84	NA	"GBIF"	"SI"	"SI"	"SI"	"HERB"	3669	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Salta"	"Rivadavia"	"Ruta 81, Km 1721"	-23.45	-62.79	NA	"GBIF"	"CTES"	"CTES"	"CTES"	"HERB"	3391	0	0	NA	1	"specimen"
"Oxypetalum fuscum"	"Apocynaceae"	"Oxypetalum fuscum Goyder & Fontella"	"Apocynaceae"	"Oxypetalum fuscum"	"Goyder & Fontella"	"flowering plants"	"Accepted"	"Apocynaceae"	"Goyder & Fontella"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	"Florida"	"5 km (by road) and 3 km (by air) NE of Bermejo, Cerro Herradura, along old horse trail road to Santa Cruz and petroleum pipeline"	-18.1166667	-63.6166667	1990-09-25	"MO"	"MO, NY"	"MO, NY"	"MO, NY"	NA	280	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Tabebuia selachidentata A.H.Gentry"	"Bignoniaceae"	"Tabebuia selachidentata"	"A.H. Gentry"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"Comunidade dos Negos, Fazenda do Campo Verde."	-9.423333	-42.299722	2000-07-04	"GBIF"	"UEFS"	"UEFS"	"UEFS"	"HUEFS"	2756	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Tabebuia selachidentata A.H.Gentry"	"Bignoniaceae"	"Tabebuia selachidentata"	"A.H. Gentry"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"Morro do Leão."	-12.716667	-39.683333	1996-10-27	"GBIF"	"UEFS"	"UEFS"	"UEFS"	"HUEFS"	2756	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Tabebuia selachidentata A.H.Gentry"	"Bignoniaceae"	"Tabebuia selachidentata"	"A.H. Gentry"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"Fazenda Itaberaba. Morro de Itiberaba. Sítio com pinturas."	-12.501667	-40.083333	2005-06-05	"GBIF"	"UEFS"	"UEFS"	"UEFS"	"HUEFS"	2756	0	0	NA	1	"specimen"
"Cascaronia astragalina"	"Fabaceae"	"Cascaronia astragalina Griseb."	"Fabaceae"	"Cascaronia astragalina"	"Griseb."	"flowering plants"	"Accepted"	"Fabaceae"	"Griseb."	"N"	"Native to region, as per checklist"	"tropicos"	0	"N"	NA	NA	"Bolivia"	"Chuquisaca"	"Luis Calvo"	NA	-20.7	-63.1	1993-04-14	"MO"	"MO"	"MO"	"MO"	NA	280	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Tabebuia selachidentata A.H.Gentry"	"Bignoniaceae"	"Tabebuia selachidentata"	"A.H. Gentry"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"Morro do Agenor."	-12.7	-39.766667	1996-09-29	"GBIF"	"UEFS"	"UEFS"	"UEFS"	"HUEFS"	2756	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Handroanthus selachidentatus (A.H.Gentry) S.O.Grose"	"Bignoniaceae"	"Handroanthus selachidentatus"	"(A.H. Gentry) S.O. Grose"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	NA	NA	"Brazil"	"Pernambuco"	NA	""	-8.513889	-37.255556	2005-03-08	"GBIF"	"UESC"	"UESC"	"UESC"	"UESC"	3702	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Handroanthus selachidentatus (A.H.Gentry) S.O.Grose"	"Bignoniaceae"	"Handroanthus selachidentatus"	"(A.H. Gentry) S.O. Grose"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	""	-12.716667	-39.683333	1996-10-27	"GBIF"	"UESC"	"UESC"	"UESC"	"UESC"	3702	0	0	NA	1	"specimen"
"Blepharodon philibertioides"	"Apocynaceae"	"Blepharodon philibertioides Schltr."	"Apocynaceae"	"Blepharodon philibertioides"	"Schltr."	"flowering plants"	"Accepted"	"Apocynaceae"	"Schltr."	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	"Chiquitos"	"Camino Roboré-San José, 7 km NW de Roboré, camino a la serranía; trepadora herbácea, látex blanco, flores verde amarillas"	-18.3955555	-59.6552778	NA	"MO"	"MO, USZ"	"MO, USZ"	"MO, USZ"	NA	280	0	0	NA	1	"specimen"
"Cascaronia astragalina"	"Fabaceae"	"Cascaronia astragalina Griseb."	"Fabaceae"	"Cascaronia astragalina"	"Griseb."	"flowering plants"	"Accepted"	"Fabaceae"	"Griseb."	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Salta"	"Oran"	"Camino a Finca La Ronda, 35 Km de Orán"	-23.37	-64.22	NA	"GBIF"	"SI"	"SI"	"SI"	"HERB"	3669	0	0	NA	1	"specimen"
"Bauhinia tuichiensis"	"Fabaceae"	"Bauhinia tuichiensis Cayola & A. Fuentes"	"Fabaceae"	"Bauhinia tuichiensis"	"Cayola & A. Fuentes"	"flowering plants"	"Accepted"	"Fabaceae"	"Cayola & A. Fuentes"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"La Paz"	"Franz Tamayo"	"Parque Nacional Madidi, Azariamas, Rio San Juan. Bosque semideciduo de yungas subandino xerico con Oxandra espintana y Erythrochiton fallax; ladera con exposicion NE. Parcela temporal de muestreo (0,1 ha). Plantas NO alcoholizadas."	-14.2061111	-68.6619444	2005-09-30	"MO"	"BOLV, LPB, MA, MO, US, USZ"	"BOLV, LPB, MA, MO, US, USZ"	"BOLV, LPB, MA, MO, US, USZ"	NA	280	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Corrientes"	"Capital"	"Riachuelo. Arrocera Argentina"	-27.5	-58.77	NA	"GBIF"	"SI"	"SI"	"SI"	"HERB"	3669	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Salta"	"Oran"	"Abra Grande"	-23.37	-64.22	NA	"GBIF"	"SI"	"SI"	"SI"	"HERB"	3669	0	0	NA	1	"specimen"
"Acosmium cardenasii"	"Fabaceae"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Fabaceae"	"Acosmium cardenasii"	"H.S. Irwin & Arroyo"	"flowering plants"	"Accepted"	"Fabaceae"	"H.S. Irwin & Arroyo"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Vale de Floresta Estacional Decidual. Solo minério de ferro."	-19.10569	-57.374195	2003-01-28	"GBIF"	"UNICAMP"	"UNICAMP"	"UNICAMP"	"UEC"	2136	0	0	NA	1	"specimen"
"Cascaronia astragalina"	"Fabaceae"	"Cascaronia astragalina Griseb."	"Fabaceae"	"Cascaronia astragalina"	"Griseb."	"flowering plants"	"Accepted"	"Fabaceae"	"Griseb."	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Salta"	"Oran"	"Río Piedras"	-23.37	-64.22	NA	"GBIF"	"SI"	"SI"	"SI"	"HERB"	3669	0	0	NA	1	"specimen"
"Bauhinia tuichiensis"	"Fabaceae"	"Bauhinia tuichiensis Cayola & A. Fuentes"	"Fabaceae"	"Bauhinia tuichiensis"	"Cayola & A. Fuentes"	"flowering plants"	"Accepted"	"Fabaceae"	"Cayola & A. Fuentes"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"La Paz"	"Franz Tamayo"	"Parque Nacional y Area Natural de Manejo Integrado Madidi. NW de Apolo, Asariamas, Rio Resina. Bosque andino semideciduo con Anadenanthera colubrina, Trichilia sp., Capparis sp., ladera. Plantas secadas en campo.; ="	-14.31388	-68.54111	2005-06-08	"MO"	"LPB, MO"	"LPB, MO"	"LPB, MO"	NA	280	0	0	NA	1	"specimen"
"Oxypetalum fuscum"	"Apocynaceae"	"Oxypetalum fuscum Goyder & Fontella"	"Apocynaceae"	"Oxypetalum fuscum"	"Goyder & Fontella"	"flowering plants"	"Accepted"	"Apocynaceae"	"Goyder & Fontella"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Chuquisaca"	"Hernando Siles"	"16 kms de  Monteagudo hacia Camiri. Bosque mas o menos abierto sobrre areniscas."	-19.8166667	-63.9833333	1983-10-28	"MO"	"K, LPB"	"K, LPB"	"K, LPB"	NA	280	0	0	NA	1	"specimen"
"Calea dalyi"	"Asteraceae"	"Calea dalyi Pruski & Urbatsch"	"Asteraceae"	"Calea dalyi"	"Pruski & Urbatsch"	"flowering plants"	"Accepted"	"Asteraceae"	"Pruski & Urbatsch"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	NA	"Province of Chiquitos. South slope of the Serranía de Santiago. 5-10 km. east of town of Santiago de Chiquitos; habitat: In open rocky savanna-like areas with fire-resistent vegetation"	-18.383	-59.5	1983-07-20	"NY"	"NY"	"NY"	"NY"	"Herbarium"	104	0	0	NA	1	"specimen"
"Fosterella vasquezii"	"Bromeliaceae"	"Fosterella vasquezii E.Gross & Ibisch"	"Bromeliaceae"	"Fosterella vasquezii"	"E. Gross & Ibisch"	"flowering plants"	"Accepted"	"Bromeliaceae"	"E. Gross & Ibisch"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	NA	NA	"Velasco, Park National Noel Kempff Mercado, steep slopes (sandstone) of Serrania de Huanchaca, nearby \"El Encanto\" waterfall"	-14.666667	-60.5	1993-08-27	"GBIF"	"FR"	"FR"	"FR"	"Herbarium Senckenbergianum"	3497	0	0	NA	1	"specimen"
"Cascaronia astragalina"	"Fabaceae"	"Cascaronia astragalina Griseb."	"Fabaceae"	"Cascaronia astragalina"	"Griseb."	"flowering plants"	"Accepted"	"Fabaceae"	"Griseb."	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Tucuman"	"Burruyacu"	"El Morao"	-26.51	-64.83	NA	"GBIF"	"SI"	"SI"	"SI"	"HERB"	3669	0	0	NA	1	"specimen"
